"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7,J5,J6,J4,J3,J2";"PinHeader_1x02_P2.54mm_Vertical";6;"22-23-2021";;;
2;"F1";"Fuse_Bourns_MF-RHT300";1;"Polyfuse";;;
3;"Mnt2,Mnt4,Mnt3,Mnt1";"MountingHole_3.5mm";4;"MountingHole_3.5mm";;;
4;"C8";"C_1812_4532Metric";1;"470u";;;
5;"C7,C6,C5";"C_0805_2012Metric";3;"220n";;;
6;"C4";"C_0805_2012Metric";1;"22n";;;
7;"C2";"C_0805_2012Metric";1;"2.7n";;;
8;"C1";"C_0805_2012Metric";1;"220u";;;
9;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"20k";;;
10;"D2";"Diode_DO-35_P10mm";1;"1N4148";;;
11;"J1";"USB_A_Female_UE27AC54100";1;"UE27AC54100";;;
12;"L1";"L_Axial_L11.0mm_D4.5mm_P7.62mm_Vertical_Fastron_MECC";1;"120u";;;
13;"Q1";"SOT-23-3";1;"AO3401A";;;
14;"Q2";"TO-18-3";1;"2N2222A";;;
15;"R6,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
16;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"9.1k";;;
17;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.2k";;;
18;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.4k";;;
19;"U1";"DIP-8_W7.62mm";1;"L4978";;;
